"Date"|"Description"|"RowId"|"Name"|"FullName"|"Amount"|"AccountName"|"Category"
"2016-11-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|999|Chase Sapphire Visa 8471|Bills & Utilities
"2016-12-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|999|Chase Sapphire Visa 8471|Bills & Utilities
"2017-01-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-01-16 10:59:00"|Pandora|187|Streaming|Expenses:Subscriptions:Streaming|5866|Chase Sapphire Visa 8471|Bills & Utilities
"2017-02-05 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-03-05 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-04-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-05-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-05-09 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-06-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-06-09 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-07-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-07-09 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-08-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-08-09 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-09-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-09-10 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-10-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-10-09 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-11-05 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-11-09 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-12-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2017-12-10 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1068|Chase Sapphire Visa 8471|Bills & Utilities
"2018-01-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1172|Chase Sapphire Visa 8471|Bills & Utilities
"2018-01-05 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1598|Chase Sapphire Visa 8471|Bills & Utilities
"2018-01-16 10:59:00"|PANDORA*INTERNET Radio|187|Streaming|Expenses:Subscriptions:Streaming|5853|Chase Sapphire Visa 8471|Bills & Utilities
"2018-02-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1172|Chase Sapphire Visa 8471|Bills & Utilities
"2018-02-05 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1598|Chase Sapphire Visa 8471|Bills & Utilities
"2018-03-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1172|Chase Sapphire Visa 8471|Bills & Utilities
"2018-03-05 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1598|Chase Sapphire Visa 8471|Bills & Utilities
"2018-04-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1172|Chase Sapphire Visa 8471|Bills & Utilities
"2018-04-05 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1598|Chase Sapphire Visa 8471|Bills & Utilities
"2018-05-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1492|Chase Sapphire Visa 8471|Bills & Utilities
"2018-05-06 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1598|Chase Sapphire Visa 8471|Bills & Utilities
"2018-06-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1492|Chase Sapphire Visa 8471|Bills & Utilities
"2018-06-05 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1598|Chase Sapphire Visa 8471|Bills & Utilities
"2018-07-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1492|Chase Sapphire Visa 8471|Bills & Utilities
"2018-07-05 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1598|Chase Sapphire Visa 8471|Bills & Utilities
"2018-07-24 10:59:00"|APL* Itunes.COM/BILL|187|Streaming|Expenses:Subscriptions:Streaming|299|Chase Sapphire Visa 8471|Bills & Utilities
"2018-08-05 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1598|Chase Sapphire Visa 8471|Bills & Utilities
"2018-08-05 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1492|Chase Sapphire Visa 8471|Bills & Utilities
"2018-08-24 10:59:00"|APL* Itunes.COM/BILL|187|Streaming|Expenses:Subscriptions:Streaming|299|Chase Sapphire Visa 8471|Bills & Utilities
"2018-09-04 10:59:00"|Netflix|187|Streaming|Expenses:Subscriptions:Streaming|1492|Chase Sapphire Visa 8471|Bills & Utilities
"2018-09-05 10:59:00"|Spotify Usa|187|Streaming|Expenses:Subscriptions:Streaming|1598|Chase Sapphire Visa 8471|Bills & Utilities
"2014-07-31 10:59:00"|Metlife|106|Home Insurance|Expenses:Insurance:Home Insurance|85423|Chase Sapphire Visa 8471|Bills & Utilities
"2015-06-03 10:59:00"|Travelers Insurance|106|Home Insurance|Expenses:Insurance:Home Insurance|107900|Chase Sapphire Visa 8471|Bills & Utilities
